"address_detail_pid","building_name","flat_type_code","flat_number_prefix","flat_number","flat_number_suffix","level_type_code","level_number_prefix","level_number","level_number_suffix","number_first_prefix","number_first","number_first_suffix","number_last_prefix","number_last","number_last_suffix","street_name","street_type_code","street_suffix_code","locality_name","postcode","longitude","latitude","mb_2016_code"
"GANSW704554308","","UNIT","","1","","","","","","","58","","","","","BRIGHTON","PARADE","","CULBURRA BEACH","2540","150.76134697","-34.92945319","10699590000"
"GANSW704559171","","UNIT","","2","","","","","","","2","","","","","MELROSE","STREET","","CROYDON PARK","2133","151.10382917","-33.89708098","10184570000"
"GANSW704555348","","UNIT","","3","","","","","","","7","","","","","CLARENCE","AVENUE","","DEE WHY","2099","151.29099841","-33.75034622","10812310000"
"GANSW704555429","","","","","","","","","","","85","","","","","HOWARD","AVENUE","","DEE WHY","2099","151.29350724","-33.75376978","10820730000"
"GANSW704564780","","","","","","","","","","","51","","","","","SOUTH CREEK","ROAD","","DEE WHY","2099","151.29121162","-33.74206097","10808790000"
"GANSW704557264","","UNIT","","10","","","","","","","76","","","","","OAKS","AVENUE","","DEE WHY","2099","151.29264241","-33.75411284","10817250000"
"GANSW704555773","","UNIT","","2","","","","","","","16","","","","","STATION","STREET","","DAPTO","2530","150.79419503","-34.49114296","10876460000"
"GANSW704555775","","UNIT","","4","","","","","","","16","","","","","STATION","STREET","","DAPTO","2530","150.79419503","-34.49114296","10876460000"
"GANSW704575793","","","","","","","","","","","23","","","","","MONASH","PARADE","","DEE WHY","2099","151.29870319","-33.75813598","10823030000"
"GANSW704583427","","","","","","","","","","","132","","","138","","PACIFIC","PARADE","","DEE WHY","2099","151.29530216","-33.75560415","10812480000"
